번호,제목,요약내용,작성일자,블로그닉네임
1,마소캠퍼스 빅데이터 분석 오픈 세미나!(서진수 대표님) 151030," 진행한 빅데이터 분석 오픈 세미나 강연 후기입니다 진행은 서진수 대표님이... 하락중인 데이터를 보고 어떤 인사이트를 얻을 수 있는지, 차례 차례 알려주셨습니다...  ",2015.10.31.,어쩐지 오늘은
2,빅데이터 전문가 서진수 대표의 트랜드 분석 강의, 빅데이터 전문가 서진수 대표님. 빅데이터 강의는 분야를 막론하고 누구든... 미래 빅데이터를 추출하는 것은 기술적으로 그리 어렵지 않다. 오히려 데이터를 어떻게...  ,2017.03.07.,카루의 프리랜서 라이프
3,서진수 대표님의 강의를 듣고, 공동체 수업을 듣고 – 서진수 대표님 22019020 오늘은 빅데이터 관련 회사를... 뉴스는 신생아의 울음소리에 대한 데이터를 모아서 울음의 원인을 판단할 수 있다는...  ,2021.03.24.,1-1
4,"소셜포럼] 서진수 대표, 변화의 흐름을 이끄는 빅데이터... ", 창의와 융합의 신(新) 물결 ‘4차 산업혁명’ 변화의 흐름을 이끄는 빅데이터 전문가 서진수 ㈜컨시어지소프트 대표 | ㈜데이터앤피플 대표 언제부터인가 미디어에서...  ,2017.08.24.,위클리피플 [명사와의 만남] _신지식인 소셜포럼
5,"방법, 빅데이터 관리가 가장 기본 <(주)컨시어지소프트 서진수... "," 된 빅데이터 기술 활용법 알린다” ㈜컨시어지소프트, ㈜데이터앤피플 서진수 대표 4차산업혁명과 인공지능을 실과 바늘의 관계에...  ",2017.09.25.,월간 인터뷰 (Interview)
6,빅데이터 활용으로 4차산업시대를 준비하자_서진수대표 특강... ," 스몰데이터만으로도 충분히 고객관리가 가능합니다. ^^ 그렇게 지난 날의 관심과 열정을 떠올리며, 서진수대표님의 빅데이터 활용 특강을 갔습니다. 아재개그,,,,,를...  ",2017.02.28.,위드앤교육컨설팅_퍼실리테이션 전문교육
7,빅데이터 전문가 서진수 강사님의 빅데이터 활용과 4차산업에... , 서진수 강사님의 빅데이터 관련 강의를 들으러 강남을 다녀왔드랬죠!! 빅데이터 전문가라고 하면 사실 카카오다음의 '그 분'을 떠올리실텐데요..ㅋㅋ 서진수 강사님도...  ,2017.02.27.,한결다온교육연구소
8,"빅데이터 분석, 웹크롤링 강남 아이티윌과 서진수 강사님의 특강"," 오늘은 강남 아이티윌과 서진수 강사님의 빅데이터분석을 위한 R의 활용방안과 텍스트 마이닝, 데이터 시각화, 통계 패키지의 활용, 데이터 수집을 위한 크롤링 등의...  ",2017.08.08.,우수훈련기관 아이티윌
9,"[모임소개] KBS ""명견만리"" 서진수 직강 '빅데이터 전문가... "," (8) 2018.04.22 윈도우10 포스트잇 Sticky Notes 스티커 메모 (2) 2018.04.13 [모임소개] KBS ""명견만리"" 서진수 직강 '빅데이터 전문가 / 전문강사 양성과정 (0) 2018....  ",2018.04.11.,푸우시로의 블로그
10,서진수 강사님의 빅데이터-R을 활용한 텍스트 마이닝 교육, 서진수 강사님은 빅데이터 전문가로써 방송에도 몇차례 출연하시면서 빅데이터에 관련된 특강을 진행하신 경험도 있으십니다. 데이터베이스와 빅데이터에 관련된...  ,2017.07.25.,IT취업 나도 할 수 있다.
11,빅데이터 전문가 서진수 청년들의 희망 멘토로 강단 서다!," 생각했던 데이터베이스, 빅데이터 분야에 대한 현직 전문가의 이야기를 들을 수 있는 좋은 기회였다""는 호평을 쏟아냈습니다. 한편 서진수의 신간 'R라뷰-R을 활용한...  ",2015.05.21.,열등감은 나의 힘
12,[정화쌤은 공부중] 서진수 대표님 'R라뷰 빅데이터 가공' 청강... , 데이터앤피플 서진수 대표님의 [R라뷰 빅데이터 분석] 다양한 함수로 데이터 가공하기 2017.07.06 THU 중앙대학교 서진수 대표님께서 감사하게도 청강의 기회를 주셔서...  ,2017.07.06.,브랜뉴경영연구소
13,프로그래밍- 서진수 대표님 직강 빅데이터 R프로그래밍... , [ 아이티윌 출강교육 SK ( 에스케이 ) 브로드밴드 빅데이터 R 프로그래밍- 서진수 대표님 직강 빅데이터 R프로그래밍 아이티윌 위탁교육 - SK브로드밴드...  ,2016.11.22.,♥ 통통호의 IT백과사전 사랑방 ♥
14,"'빅데이터 분석 전도사' 서진수 소장 ""데이터 분석, 누구나 할... "," ^^ '빅데이터 분석 전도사' 서진수 소장 ""데이터 분석, 누구나 할 수 있다"" 게임포커스는 '빅데이터 분석 전도사'로 잘 알려진 서진수 데이터컨시어지랩 연구소장을 만나...  ",2015.08.29.,제 1의 안박사!
15,"김승주, 서진수, 빅데이터 혁명, 21세기의 석유, 개인정보 활용... "," 교수 - 빅데이터 전문가 서진수 대표 - 지난주, 국내 1위 이동통신사에서 가입자... 사람들의 데이터를 수집하고 분석하여 - 손님이 적은 시간대에 저렴한 이용권을...  ",2016.07.14.,설리아닷컴 시즌2 :: 설리아닷컴 시즌2
