판매순위,제품이름,가격,상품평수,평점
1,"Fire TV Stick with Alexa Voice Remote (includes TV controls), HD streaming device",1 offer from $39.99,231197,4.7 out of 5 stars
2,"Echo Dot (4th Gen) | Sleek design with full sound, Bluetooth, and Alexa | Charcoal",$49.99 - $81.95,476085,4.7 out of 5 stars
3,"Echo Dot (4th Gen) | Sleek design with full sound, Bluetooth, and Alexa | Charcoal",1 offer from $49.99,476085,4.7 out of 5 stars
4,"Blink Video Doorbell (Black) + Mini Camera (Black) with Sync Module 2 | Two-Way Audio, HD Video, Motion and Chime Alerts | Alexa Enabled",$84.98 - $279.98,46961,4.3 out of 5 stars
5,"Blink Mini – Compact indoor plug-in smart security camera, 1080p HD video, night vision, motion detection, two-way audio, easy set up, Works with Alexa – 1 camera (Black)",$84.99,193556,4.4 out of 5 stars
6,"Echo Show 5 (2nd Gen, 2021 release) | Smart display with Alexa and 2 MP camera | Charcoal",2 offers from $44.67,74727,4.6 out of 5 stars
7,"Echo Dot (4th Gen) | Sleek design with full sound, Bluetooth, and Alexa | Twilight Blue",1 offer from $49.99,476085,4.7 out of 5 stars
8,"Echo Dot (4th Gen) | Sleek design with full sound, Bluetooth, and Alexa | Glacier White",1 offer from $49.99,476085,4.7 out of 5 stars
9,"Amazon Smart Plug, for home automation, Works with Alexa - A Certified for Humans Device",3 offers from $18.55,502794,4.7 out of 5 stars
10,"Ring Video Doorbell – 2020 release – 1080p HD video, improved motion detection, easy installation – Satin Nickel",$124.99 - $184.98,106177,4.7 out of 5 stars
